"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",10106.4285985454,652.932060566363,346.65736989925,15.4785301701665,1.88207098653696e-41
"TIME_YEARS",-103.300945340273,10.0118253652263,260.276644840476,-10.3178932484245,3.78891954368173e-21
"CSF_NfL_bl",-0.347073384159278,0.0539487401171025,344.053915634618,-6.43339183465474,4.18182961904829e-10
"AGE",-47.3627977259934,7.49590504893618,347.792437844651,-6.31848955086686,8.0845719914512e-10
"SEX_num",537.46031345087,104.97292955264,344.95517646918,5.11998965582219,5.08946056296898e-07
"PTEDUCAT",-14.0324882594329,17.3990522291937,342.904775725037,-0.806508772695555,0.420508544661377
"APOE4_num",-506.622054614513,73.7515941066671,345.727445969631,-6.86930310796786,3.01088814159928e-11
"TIME_YEARS:CSF_NfL_bl",-0.0170434807506988,0.00577144072088425,255.945732049239,-2.95307213137027,0.00343880377268594
