"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",9222.94940278937,2545.82491529311,38.2307974981311,3.62277442858929,0.000844876037380318
"TIME_YEARS",-136.30413122298,40.8701887821016,47.0822052399441,-3.33505019880583,0.00166973505722069
"CSF_PTAU_bl",8.88492533122954,11.130092720724,38.6171139639528,0.798279543052324,0.429590330335479
"AGE",-40.3477237586998,29.5675789628489,38.2340427019457,-1.36459342205177,0.180358819644996
"SEX_num",386.748111468328,326.368582057329,38.0250353450941,1.18500411108933,0.243369275869185
"PTEDUCAT",-62.6658170611905,53.8554063536377,37.6809755419671,-1.1635938024439,0.251904084069874
"APOE4_num",-127.790331759028,275.850823265751,37.8192080710398,-0.463258837679509,0.645833839065406
"TIME_YEARS:CSF_PTAU_bl",-1.59666791497284,1.21198235318248,47.8408465814355,-1.3174019496078,0.193978687653249
