"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",4.97748935525216,0.363007799901956,347.51349179807,13.7117972577904,1.67103543882744e-34
"TIME_YEARS",-0.0470477537422123,0.00728654068229502,198.897783788506,-6.45680245174913,8.01788541252003e-10
"CSF_NfL_bl",-0.00018742653891957,2.98329640161902e-05,341.09717058541,-6.28253159216277,1.01570089451272e-09
"AGE",-0.0185083474978218,0.00416603366262326,348.124079762099,-4.4426783354812,1.19532138991405e-05
"SEX_num",0.122698131721944,0.0583909378635127,346.646367112301,2.10132147575276,0.0363342396738723
"PTEDUCAT",-0.00658918061515136,0.00968437683001756,345.636060254292,-0.680392835884662,0.496711254593726
"APOE4_num",-0.200766205151303,0.0410077416296064,346.785710400608,-4.89581228258509,1.50332889443162e-06
"TIME_YEARS:CSF_NfL_bl",-9.90497452189024e-06,4.19456099982229e-06,192.438265177396,-2.3613852611298,0.0192061167168186
