"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",5.90761241833151,1.24683960847077,37.9750645174681,4.73806925782307,3.00243313735742e-05
"TIME_YEARS",-0.0454216054578895,0.0319145929586457,39.4800548437718,-1.42322371200992,0.162526143462844
"CSF_PTAU_bl",-0.00540265264106161,0.00552196575747591,38.5945111579458,-0.978392999584837,0.333973344343319
"AGE",-0.0328955172768536,0.0144803116361918,37.9714086850618,-2.2717409751483,0.0288534802977395
"SEX_num",-0.0999076887108603,0.159581618881577,37.4891883990493,-0.626060127795797,0.535068953151716
"PTEDUCAT",-0.0109934146281581,0.0262732338614566,36.7106231457615,-0.418426398749704,0.678073205649846
"APOE4_num",0.0919890761842575,0.134704116254876,37.0082955313439,0.682897291796216,0.498924653132823
"TIME_YEARS:CSF_PTAU_bl",-0.00132650162987979,0.000942527471330367,39.7910499979389,-1.40738776346481,0.167076428588691
