"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",5.33573955194344,0.612770902939386,167.39054080242,8.70756024208812,2.86491526884856e-15
"TIME_YEARS",-0.0447098486113279,0.0116941113800719,137.25643247208,-3.82327884165004,0.000199030645555095
"Plasma_NfL_Q_bl",-0.011725671339961,0.00303535354361562,167.530493589956,-3.86303314308282,0.000159798264265489
"AGE",-0.0167913100487044,0.00744262687939983,167.317961933127,-2.25609993901218,0.0253593761340065
"SEX_num",0.0163134588891607,0.0866595285975397,167.471993833552,0.188247722474039,0.85091037296035
"PTEDUCAT",-0.0313669099160774,0.0148888403603161,166.201935406334,-2.10673962222613,0.0366415384362587
"APOE4_num",-0.0380617972613025,0.0575615365636407,168.73591168763,-0.661236644008294,0.50936243238262
"TIME_YEARS:Plasma_NfL_Q_bl",-0.000393255713316972,0.000371760308921884,142.191518727492,-1.05782060074521,0.291931023195386
