"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",10980.2144200997,1109.96907578255,167.539339191946,9.89236066091159,1.84504347403614e-18
"TIME_YEARS",-113.99347484093,16.1000749457569,136.848352484295,-7.08030709328921,6.84817636131622e-11
"Plasma_NfL_Q_bl",-15.9607209932306,5.50826806764248,167.846502370555,-2.89759336278303,0.00426233578196242
"AGE",-50.9828704020198,13.4805396630553,167.422225766675,-3.78196063928681,0.000216253458240794
"SEX_num",279.593412829151,156.940510062182,167.484395338224,1.78152481292671,0.0766389336218114
"PTEDUCAT",-21.7331702765152,26.9703875353394,166.445651665508,-0.805816017587367,0.421498675365821
"APOE4_num",-483.47864470644,104.222032965391,168.562187657413,-4.63892932185453,6.99951582735319e-06
"TIME_YEARS:Plasma_NfL_Q_bl",-0.345758446545077,0.511599860146622,141.59013681442,-0.675837648677199,0.500246089427617
